shap_Hour,shap_Day,shap_DayOfWeek,shap_IsWeekend,shap_Sender Bank ID,shap_Receiver Bank ID,shap_is_cross_bank,shap_is_self_transfer,shap_Amount_Paid_Log,shap_Amount_Received_Log,shap_Amount_Diff_Log,shap_amount_vs_account_median,shap_Payment_Currency_Encoded,shap_Receiving_Currency_Encoded,shap_is_currency_mismatch,shap_is_amount_outlier_iqr,shap_is_amount_outlier_zscore,shap_is_account_level_outlier,shap_outlier_score,shap_is_outlier,shap_txn_count_per_sender_hour,shap_txn_count_per_sender_day,shap_is_high_velocity,shap_fmt_ACH,shap_fmt_Bitcoin,shap_fmt_Cash,shap_fmt_Cheque,shap_fmt_Credit Card,shap_fmt_Reinvestment,shap_fmt_Wire,actual_label,predicted_proba
-0.6551801,-0.74778277,-0.13000652,-0.011015801,-0.29440144,-0.25013548,-1.5075539,-0.50083417,-0.051612277,-0.09398279,0.0030824114,-0.1504632,-0.034274857,-0.114113875,0.01334457,-0.06461234,-0.0002463661,0.00013622743,-0.032082055,0.0064755254,-0.8363607,-0.4445849,-0.071000196,-2.1769776,-0.053519975,0.0135819325,0.06879514,0.059597004,0.0016734061,0.003099145,0,0.00032159287
-1.252617,0.0046418463,-0.06524878,0.050144218,-0.45649043,-0.17728311,0.02122934,0.008828371,-0.22672676,-0.6013974,0.0016490662,-0.03761973,-0.13812405,0.003303831,0.0009952735,0.0292743,-8.64364e-06,-0.018075522,-0.08304746,0.009447828,-1.39883,-0.8849272,0.075952254,-1.5592792,-0.06348518,0.006524552,0.05010075,-0.5908358,-0.00047626812,0.0022042019,0,0.0006879354
-0.85386086,-1.1087793,-0.13753094,-0.020189324,0.000683922,0.23740415,0.06365283,0.04320263,0.22340043,0.3216073,0.006609679,-0.027975364,-0.043836247,0.033429153,0.0037913106,0.07509474,-9.558551e-05,0.0008684866,0.010911932,-0.013556477,-0.075128905,-0.29118386,-0.026237281,2.118514,-0.01404689,0.026543282,0.20868993,0.12318444,-0.0017268881,0.0071220826,1,0.71087056
-1.2687019,-0.27616623,-0.3611028,-0.013971554,-0.025590304,-0.03265805,0.023693275,0.008323055,-0.22316788,-0.54587644,0.0017024884,-0.27391878,0.030167254,-0.019784097,0.0011286918,0.047495443,-2.2618437e-05,-0.015353715,0.009917691,-0.04203836,-1.3932989,-0.6745785,-0.049644288,-1.5634605,-0.062376123,0.009393434,-0.565805,0.036893595,-0.0002471186,0.0021707695,0,0.0007255715
-1.423616,-0.7157367,-0.15041143,-0.018740032,-0.12553097,-0.009480323,-1.525957,-0.33163702,-0.24842761,-0.51064944,0.0017223248,0.046924744,0.02243532,-0.02160001,0.0073603485,0.052704696,-4.044135e-05,-0.0075601256,-0.06802219,-0.029563956,-1.2022269,-0.49968523,-0.042057738,-1.2998216,-0.041829787,0.009856311,0.038106747,0.021940172,0.0028071892,0.00224216,0,0.0003166358
-1.26118,-0.36233744,-0.23272432,-0.011619302,-0.01242831,0.06583371,0.043467645,0.02899497,0.009551162,0.1823602,0.0072628222,-0.52354515,-0.07323546,0.026316594,0.0039600194,0.05376912,-9.260577e-06,-0.09345896,-0.004445604,0.0025474762,-0.094164856,-0.34032506,-0.029865267,2.1774945,-0.01714044,0.021504179,0.21753122,0.122568496,-0.000534807,0.0071220826,1,0.48059043
-0.7565903,-0.17755179,-0.32346746,-0.011865485,-0.07194261,-0.039068677,0.027984727,0.009607165,-0.20976868,-0.64087075,0.0017288864,0.08904017,0.034385454,-0.022101162,0.0010344521,0.048878137,-1.322949e-05,-0.014428112,0.010385227,-0.034157585,-1.0968634,-0.8810967,-0.051241133,-2.2461846,-0.058013592,0.0077878283,0.06337008,-0.81380206,-0.0005800308,0.0022402124,0,0.0007888738
-0.84096986,-0.03870414,-0.35700464,-0.02035141,-0.16964185,-0.06798201,0.031189071,0.014086449,-0.9003569,-1.8710061,0.0030605516,0.04559915,-0.037517108,-0.065558404,0.0019293964,0.03909843,-8.64364e-06,-0.026701711,0.00017957232,-0.025579983,-1.3152957,-0.5238566,-0.029667724,1.2401967,-0.01706011,0.019937983,0.1391787,0.07412091,-0.00020785796,0.004417057,0,0.009144421
-0.8179387,-0.6936168,-0.030185763,-0.036949217,-0.65444875,0.029824499,0.019522479,0.011842294,-0.106325045,-0.1579308,0.0021929445,-0.06632414,-0.08428334,-0.21643165,0.001314359,-0.27254838,-4.044135e-05,-0.061443496,-0.12606268,0.012568761,-1.1218151,-0.82168037,-0.06752143,-1.7301406,-0.039706778,0.0059167338,-0.671842,0.058240797,-0.0006898213,0.00293994,0,0.00048809504
-0.6441489,-0.035477784,-0.48481962,-0.017755449,0.0188048,0.064675465,0.041172516,0.020126987,0.26198032,0.4144339,0.007114222,-0.52309245,-0.0022039148,-0.03048597,0.0041472977,0.15432523,-8.64364e-06,-0.009403913,0.0035351627,-0.01853984,-1.3243635,-0.56922865,-0.033368442,2.101534,-0.016102284,0.029428424,0.21773846,0.123206854,-0.00031255817,0.007343122,1,0.44258204
