graph_community_id,transaction_count,fraud_rate,suspicious_community
-1,4351349,0.0008241122465699718,0
0,187967,0.0016013449169269074,0
1,109670,0.001641287498860217,0
2,2663,0.0003755163349605708,0
3,4068,0.005653883972468043,1
4,5085,0.00039331366764995085,0
5,4506,0.001775410563692854,0
6,4320,0.0011574074074074073,0
7,1531,0.0013063357282821686,0
8,21645,0.0017556017556017555,0
9,3188,0.012547051442910916,1
10,2170,0.0018433179723502304,0
11,19882,0.0010562317674278241,0
12,2918,0.0017135023989033585,0
13,3095,0.00032310177705977385,0
14,15501,0.004193277853041739,1
15,977,0.0,0
16,2702,0.0,0
17,1119,0.0,0
18,1314,0.00076103500761035,0
19,18162,0.002147340601255368,1
20,2184,0.003205128205128205,1
21,2139,0.0004675081813931744,0
22,2104,0.0009505703422053232,0
23,2118,0.00047214353163361664,0
24,9087,0.010894684714427203,1
25,11751,0.0011913879669815334,0
26,21155,0.0015599149137319782,0
27,1421,0.007741027445460943,1
28,333,0.0,0
29,1327,0.0015071590052750565,0
30,1495,0.0006688963210702341,0
31,1165,0.004291845493562232,1
32,15180,0.0011198945981554676,0
33,1150,0.0,0
34,734,0.0013623978201634877,0
35,420,0.0,0
36,432,0.0,0
37,17391,0.0007475130814789259,0
38,9830,0.0013224821973550356,0
39,12731,0.0012567748016652266,0
40,950,0.0010526315789473684,0
41,677,0.0,0
42,855,0.0,0
43,666,0.0,0
44,792,0.0,0
45,602,0.0,0
46,94,0.010638297872340425,1
47,374,0.0,0
48,398,0.005025125628140704,1
49,299,0.0,0
50,762,0.0,0
51,13318,0.0013515542874305451,0
52,709,0.019746121297602257,1
53,380,0.0,0
54,261,0.0,0
55,212,0.0,0
56,15,0.0,0
57,25,0.44,1
58,269,0.0,0
59,367,0.04087193460490463,1
60,435,0.0,0
61,135,0.0,0
62,569,0.0,0
63,774,0.0,0
64,436,0.0,0
65,62,0.0,0
66,675,0.0,0
67,598,0.008361204013377926,1
68,745,0.0026845637583892616,1
69,121,0.0,0
70,19,0.0,0
71,408,0.0024509803921568627,1
72,31,0.0,0
73,10,0.0,0
74,13,0.0,0
75,10,0.0,0
76,8,0.0,0
77,548,0.0,0
78,8,0.0,0
79,354,0.0,0
80,26,0.0,0
81,354,0.0,0
82,11,0.0,0
83,346,0.0,0
84,38,0.0,0
85,11,0.0,0
86,11,0.0,0
87,10,0.0,0
88,10,0.0,0
89,337,0.0,0
90,271,0.0,0
91,349,0.0,0
92,12,0.0,0
93,10,0.0,0
94,226,0.0,0
95,8,0.0,0
96,8,0.0,0
97,8,0.0,0
98,79,0.0,0
99,536,0.0,0
100,278,0.0,0
101,26,0.0,0
102,162,0.0,0
103,10,0.0,0
104,270,0.0,0
105,10,0.0,0
106,8,0.0,0
107,9,0.0,0
108,25,0.0,0
109,11,0.0,0
110,12,0.0,0
111,10,0.0,0
112,39,0.0,0
113,9,0.0,0
114,31,0.41935483870967744,1
115,505,0.0,0
116,10,0.0,0
117,29,0.0,0
118,31,0.0,0
119,10,0.0,0
120,383,0.0,0
121,10,0.0,0
122,125,0.0,0
123,241,0.016597510373443983,1
124,9,0.0,0
125,123,0.0,0
126,39,0.0,0
127,32,0.0,0
128,10,0.0,0
129,312,0.0,0
130,160,0.0,0
131,414,0.0,0
132,266,0.0,0
133,11,0.0,0
134,94,0.0,0
135,10,0.0,0
136,10,0.0,0
137,26,0.0,0
138,128,0.0,0
139,376,0.0026595744680851063,1
140,8,0.0,0
141,7,0.0,0
142,11,0.09090909090909091,1
143,32,0.0,0
144,11,0.0,0
145,10,0.0,0
146,9,0.0,0
147,454,0.0,0
148,22,0.0,0
149,219,0.0,0
150,12,0.0,0
151,38,0.3684210526315789,1
152,324,0.0,0
153,177,0.0,0
154,70,0.0,0
155,7,0.0,0
156,10,0.0,0
157,336,0.0,0
158,321,0.0,0
159,35,0.4,1
160,228,0.0,0
161,10,0.1,1
162,13,0.0,0
163,30,0.4,1
164,274,0.0,0
165,11,0.0,0
166,327,0.0,0
167,334,0.0,0
168,11,0.0,0
169,10,0.0,0
170,442,0.0,0
171,9,0.0,0
172,70,0.0,0
173,11,0.0,0
174,11,0.0,0
175,438,0.0,0
176,181,0.07734806629834254,1
177,291,0.0,0
178,184,0.07608695652173914,1
179,313,0.0,0
180,5,0.0,0
181,4,0.0,0
182,6,0.0,0
183,3,0.0,0
184,8,0.0,0
185,5,0.0,0
186,125,0.0,0
187,4,0.0,0
188,167,0.0,0
189,4,0.0,0
190,5,0.0,0
191,8,0.0,0
192,307,0.0,0
193,297,0.0,0
194,41,0.024390243902439025,1
195,3,0.0,0
196,5,0.0,0
197,55,0.2727272727272727,1
198,6,0.0,0
199,6,0.0,0
200,294,0.0,0
201,4,0.0,0
202,5,0.0,0
203,5,0.0,0
204,339,0.0,0
205,155,0.0,0
206,197,0.0,0
207,5,0.0,0
208,302,0.0,0
209,5,0.0,0
210,19,0.0,0
211,6,0.0,0
212,57,0.0,0
213,5,0.0,0
214,6,0.0,0
215,24,0.5416666666666666,1
216,5,0.0,0
217,13,0.0,0
218,5,0.0,0
219,4,0.0,0
220,6,0.0,0
221,10,0.0,0
222,5,0.0,0
223,4,0.0,0
224,5,0.0,0
225,6,0.0,0
226,9,0.0,0
227,4,0.0,0
228,274,0.0,0
229,287,0.0,0
230,181,0.0,0
231,266,0.0,0
232,4,0.0,0
233,4,0.0,0
234,131,0.0,0
235,171,0.0,0
236,293,0.0,0
237,5,0.0,0
238,4,0.0,0
239,3,0.0,0
240,5,0.0,0
241,5,0.0,0
242,4,0.0,0
243,184,0.0,0
244,5,0.0,0
245,117,0.0,0
246,4,0.0,0
247,6,0.0,0
248,5,0.0,0
249,4,0.0,0
250,6,0.0,0
251,3,0.0,0
252,6,0.0,0
253,147,0.0,0
254,4,0.0,0
255,5,0.2,1
256,5,0.0,0
257,5,0.0,0
258,222,0.0,0
259,3,0.0,0
260,210,0.0,0
261,4,0.0,0
262,4,0.0,0
263,5,0.0,0
264,3,0.0,0
265,5,0.0,0
266,68,0.0,0
267,265,0.0,0
268,4,0.25,1
269,5,0.0,0
270,4,0.0,0
271,302,0.0,0
272,4,0.0,0
273,5,0.0,0
274,264,0.0,0
275,6,0.0,0
276,44,0.0,0
277,150,0.0,0
278,2,0.0,0
279,5,0.0,0
280,5,0.0,0
281,4,0.0,0
282,217,0.0,0
283,6,0.0,0
284,4,0.0,0
285,5,0.0,0
286,4,0.0,0
287,4,0.0,0
288,5,0.0,0
289,6,0.0,0
290,4,0.0,0
291,4,0.0,0
292,5,0.0,0
293,36,0.0,0
294,5,0.0,0
295,5,0.0,0
296,234,0.0,0
297,6,0.0,0
298,181,0.08839779005524862,1
299,217,0.0,0
300,5,0.0,0
301,269,0.0,0
302,5,0.0,0
303,425,0.0,0
304,6,0.0,0
305,28,0.03571428571428571,1
306,6,0.0,0
307,4,0.0,0
308,4,0.0,0
309,5,0.0,0
310,5,0.0,0
311,5,0.0,0
312,5,0.2,1
313,5,0.0,0
314,121,0.0,0
315,5,0.0,0
316,300,0.0,0
317,3,0.0,0
318,5,0.0,0
319,4,0.0,0
320,5,0.0,0
321,4,0.0,0
322,3,0.0,0
323,7,0.0,0
324,5,0.0,0
325,4,0.0,0
326,5,0.0,0
327,6,0.0,0
328,5,0.0,0
329,3,0.0,0
330,4,0.0,0
331,5,0.0,0
332,3,0.0,0
333,143,0.0,0
334,5,0.0,0
335,5,0.0,0
336,4,0.0,0
337,344,0.0,0
338,124,0.0,0
339,7,0.0,0
340,256,0.0,0
341,7,0.14285714285714285,1
342,108,0.0,0
343,5,0.0,0
344,6,0.0,0
345,3,0.0,0
346,7,0.0,0
347,4,0.0,0
348,4,0.0,0
349,4,0.0,0
350,5,0.0,0
351,8,0.0,0
352,30,0.43333333333333335,1
353,6,0.0,0
354,8,0.0,0
355,105,0.0,0
356,5,0.0,0
357,77,0.0,0
358,6,0.0,0
359,4,0.0,0
360,4,0.0,0
361,190,0.0,0
362,3,0.0,0
363,4,0.0,0
364,4,0.0,0
365,96,0.0,0
366,5,0.0,0
367,5,0.0,0
368,108,0.0,0
369,3,0.0,0
370,4,0.0,0
371,5,0.0,0
372,3,0.0,0
373,6,0.0,0
374,5,0.0,0
375,6,0.0,0
376,4,0.0,0
377,54,0.25925925925925924,1
378,5,0.0,0
379,4,0.0,0
380,4,0.0,0
381,290,0.0,0
382,5,0.0,0
383,4,0.0,0
384,5,0.0,0
385,4,0.0,0
386,5,0.0,0
387,4,0.0,0
388,4,0.0,0
389,38,0.0,0
390,6,0.0,0
391,18,0.0,0
392,369,0.0,0
393,6,0.0,0
394,6,0.0,0
395,3,0.0,0
396,4,0.0,0
397,218,0.0,0
398,6,0.0,0
399,7,0.14285714285714285,1
400,5,0.0,0
401,3,0.0,0
402,4,0.0,0
403,4,0.0,0
404,4,0.0,0
405,112,0.0,0
406,5,0.0,0
407,227,0.0,0
408,5,0.0,0
409,4,0.0,0
410,6,0.0,0
411,7,0.0,0
412,4,0.0,0
413,126,0.0,0
414,5,0.0,0
415,5,0.0,0
416,186,0.0,0
417,288,0.0,0
418,4,0.0,0
419,5,0.0,0
420,3,0.0,0
421,6,0.0,0
422,5,0.0,0
423,331,0.0,0
424,4,0.0,0
425,19,0.0,0
426,330,0.006060606060606061,1
427,25,0.0,0
428,4,0.0,0
429,4,0.0,0
430,5,0.0,0
431,4,0.0,0
432,3,0.0,0
433,158,0.0,0
434,27,0.0,0
435,5,0.0,0
436,5,0.0,0
437,195,0.0,0
438,4,0.0,0
439,5,0.0,0
440,4,0.0,0
441,114,0.0,0
442,6,0.0,0
443,96,0.0,0
444,3,0.0,0
445,7,0.14285714285714285,1
446,4,0.0,0
447,5,0.0,0
448,202,0.0,0
449,29,0.0,0
450,5,0.0,0
451,242,0.0,0
452,4,0.0,0
453,7,0.0,0
454,265,0.0,0
455,4,0.0,0
456,242,0.0,0
457,80,0.0,0
458,4,0.0,0
459,200,0.0,0
460,2,0.0,0
461,308,0.0,0
462,4,0.0,0
463,151,0.0,0
464,6,0.0,0
465,5,0.0,0
466,304,0.003289473684210526,1
467,5,0.0,0
468,76,0.0,0
469,7,0.0,0
470,3,0.0,0
471,47,0.0,0
472,48,0.0,0
473,6,0.0,0
474,5,0.0,0
475,3,0.0,0
476,6,0.0,0
477,5,0.0,0
478,4,0.0,0
479,61,0.0,0
480,4,0.0,0
481,4,0.0,0
482,4,0.0,0
483,4,0.0,0
484,230,0.0,0
485,105,0.0,0
486,4,0.0,0
487,6,0.0,0
488,5,0.0,0
489,227,0.0,0
490,266,0.0,0
491,18,0.0,0
492,4,0.0,0
493,6,0.0,0
494,77,0.0,0
495,2,0.0,0
496,6,0.0,0
497,50,0.0,0
498,5,0.0,0
